# freq, loss
4.000244100000e+01 1.111434057736e+01
4.005127000000e+01 1.070287612780e+01
4.010009800000e+01 1.029509109060e+01
4.014892600000e+01 9.891537133600e+00
4.019775400000e+01 9.492781252598e+00
4.024658200000e+01 9.099395244579e+00
4.029541000000e+01 8.711953045818e+00
4.034423800000e+01 8.331027467526e+00
4.039306600000e+01 7.957186346400e+00
4.044189500000e+01 7.590980736559e+00
4.049072300000e+01 7.232969894953e+00
4.053955100000e+01 6.883671039515e+00
4.058837900000e+01 6.543584050132e+00
4.063720700000e+01 6.213178328125e+00
4.068603500000e+01 5.892887307278e+00
4.073486300000e+01 5.583103209530e+00
4.078369100000e+01 5.284172218302e+00
4.083252000000e+01 4.996384455434e+00
4.088134800000e+01 4.719993810283e+00
4.093017600000e+01 4.455179899170e+00
4.097900400000e+01 4.202070140341e+00
4.102783200000e+01 3.960732996666e+00
4.107666000000e+01 3.731178226881e+00
4.112548800000e+01 3.513358111730e+00
4.117431600000e+01 3.307169595300e+00
4.122314500000e+01 3.112453380219e+00
4.127197300000e+01 2.929013320488e+00
4.132080100000e+01 2.756596760893e+00
4.136962900000e+01 2.594915419054e+00
4.141845700000e+01 2.443646279764e+00
4.146728500000e+01 2.302436754108e+00
4.151611300000e+01 2.170909869619e+00
4.156494100000e+01 2.048669375800e+00
4.161377000000e+01 1.935302431870e+00
4.166259800000e+01 1.830393365988e+00
4.171142600000e+01 1.733514084440e+00
4.176025400000e+01 1.644237481965e+00
4.180908200000e+01 1.562138578172e+00
4.185791000000e+01 1.486797646760e+00
4.190673800000e+01 1.417802924736e+00
4.195556600000e+01 1.354752910599e+00
4.200439500000e+01 1.297257145608e+00
4.205322300000e+01 1.244942343310e+00
4.210205100000e+01 1.197446528591e+00
4.215087900000e+01 1.154424733576e+00
4.219970700000e+01 1.115548367011e+00
4.224853500000e+01 1.080505570308e+00
4.229736300000e+01 1.049001358964e+00
4.234619100000e+01 1.020757579777e+00
4.239502000000e+01 9.955122244183e-01
4.244384800000e+01 9.730211078162e-01
4.249267600000e+01 9.530543407487e-01
4.254150400000e+01 9.353979368271e-01
4.259033200000e+01 9.198526848312e-01
4.263916000000e+01 9.062335203629e-01
4.268798800000e+01 8.943688645816e-01
4.273681600000e+01 8.840999425753e-01
4.278564500000e+01 8.752799252814e-01
4.283447300000e+01 8.677739298888e-01
4.288330100000e+01 8.614572546581e-01
4.293212900000e+01 8.562154548026e-01
4.298095700000e+01 8.519434919759e-01
4.302978500000e+01 8.485450999132e-01
4.307861300000e+01 8.459321740906e-01
4.312744100000e+01 8.440241874739e-01
4.317627000000e+01 8.427476136276e-01
4.322509800000e+01 8.420354898338e-01
4.327392600000e+01 8.418267626662e-01
4.332275400000e+01 8.420659329768e-01
4.337158200000e+01 8.427025811809e-01
4.342041000000e+01 8.436909528586e-01
4.346923800000e+01 8.449895715608e-01
4.351806600000e+01 8.465608779284e-01
4.356689500000e+01 8.483709334175e-01
4.361572300000e+01 8.503889557152e-01
4.366455100000e+01 8.525872538133e-01
4.371337900000e+01 8.549408174621e-01
4.376220700000e+01 8.574271062329e-01
4.381103500000e+01 8.600258233646e-01
4.385986300000e+01 8.627187079532e-01
4.390869100000e+01 8.654893443310e-01
4.395752000000e+01 8.683230460981e-01
4.400634800000e+01 8.712064631006e-01
4.405517600000e+01 8.741277843957e-01
4.410400400000e+01 8.770763743702e-01
4.415283200000e+01 8.800427094513e-01
4.420166000000e+01 8.830182684548e-01
4.425048800000e+01 8.859954331443e-01
4.429931600000e+01 8.889673981921e-01
4.434814500000e+01 8.919281502592e-01
4.439697300000e+01 8.948721521931e-01
4.444580100000e+01 8.977946407718e-01
4.449462900000e+01 9.006913241821e-01
4.454345700000e+01 9.035583892156e-01
4.459228500000e+01 9.063924531872e-01
4.464111300000e+01 9.091905208423e-01
4.468994100000e+01 9.119499457853e-01
4.473877000000e+01 9.146684512379e-01
4.478759800000e+01 9.173438773890e-01
4.483642600000e+01 9.199744880363e-01
4.488525400000e+01 9.225587225221e-01
4.493408200000e+01 9.250952300394e-01
4.498291000000e+01 9.275828502346e-01
4.503173800000e+01 9.300205959516e-01
4.508056600000e+01 9.324076378825e-01
4.512939500000e+01 9.347433382176e-01
4.517822300000e+01 9.370270482055e-01
4.522705100000e+01 9.392583843496e-01
4.527587900000e+01 9.414370263449e-01
4.532470700000e+01 9.435627568110e-01
4.537353500000e+01 9.456354535631e-01
4.542236300000e+01 9.476550826700e-01
4.547119100000e+01 9.496216921985e-01
4.552002000000e+01 9.515354452059e-01
4.556884800000e+01 9.533964589095e-01
4.561767600000e+01 9.552050351409e-01
4.566650400000e+01 9.569614981804e-01
4.571533200000e+01 9.586662305069e-01
4.576416000000e+01 9.603196690971e-01
4.581298800000e+01 9.619223019655e-01
4.586181600000e+01 9.634746649106e-01
4.591064500000e+01 9.649773687090e-01
4.595947300000e+01 9.664309741092e-01
4.600830100000e+01 9.678361736644e-01
4.605712900000e+01 9.691936649430e-01
4.610595700000e+01 9.705041792198e-01
4.615478500000e+01 9.717684789688e-01
4.620361300000e+01 9.729873554306e-01
4.625244100000e+01 9.741616262459e-01
4.630127000000e+01 9.752921558600e-01
4.635009800000e+01 9.763797615610e-01
4.639892600000e+01 9.774253501738e-01
4.644775400000e+01 9.784298224271e-01
4.649658200000e+01 9.793940944567e-01
4.654541000000e+01 9.803190957602e-01
4.659423800000e+01 9.812057672019e-01
4.664306600000e+01 9.820550590700e-01
4.669189500000e+01 9.828679454657e-01
4.674072300000e+01 9.836453566254e-01
4.678955100000e+01 9.843882769938e-01
4.683837900000e+01 9.850976761858e-01
4.688720700000e+01 9.857745243372e-01
4.693603500000e+01 9.864197904984e-01
4.698486300000e+01 9.870344410901e-01
4.703369100000e+01 9.876194384221e-01
4.708252000000e+01 9.881757503830e-01
4.713134800000e+01 9.887043041079e-01
4.718017600000e+01 9.892060530235e-01
4.722900400000e+01 9.896819294949e-01
4.727783200000e+01 9.901328553603e-01
4.732666000000e+01 9.905597408510e-01
4.737548800000e+01 9.909634835800e-01
4.742431600000e+01 9.913449675978e-01
4.747314500000e+01 9.917050696792e-01
4.752197300000e+01 9.920446294570e-01
4.757080100000e+01 9.923644929026e-01
4.761962900000e+01 9.926654817348e-01
4.766845700000e+01 9.929484003998e-01
4.771728500000e+01 9.932140355245e-01
4.776611300000e+01 9.934631554313e-01
4.781494100000e+01 9.936965097146e-01
4.786377000000e+01 9.939148331972e-01
4.791259800000e+01 9.941188280481e-01
4.796142600000e+01 9.943091903350e-01
4.801025400000e+01 9.944865916499e-01
4.805908200000e+01 9.946516835844e-01
4.810791000000e+01 9.948050976305e-01
4.815673800000e+01 9.949474451300e-01
4.820556600000e+01 9.950793172679e-01
4.825439500000e+01 9.952012875094e-01
4.830322300000e+01 9.953139018893e-01
4.835205100000e+01 9.954176940983e-01
4.840087900000e+01 9.955131754530e-01
4.844970700000e+01 9.956008376789e-01
4.849853500000e+01 9.956811531269e-01
4.854736300000e+01 9.957545750201e-01
4.859619100000e+01 9.958215377270e-01
4.864502000000e+01 9.958824582493e-01
4.869384800000e+01 9.959377316780e-01
4.874267600000e+01 9.959877390098e-01
4.879150400000e+01 9.960328424054e-01
4.884033200000e+01 9.960733868767e-01
4.888916000000e+01 9.961097006816e-01
4.893798800000e+01 9.961420957323e-01
4.898681600000e+01 9.961708680159e-01
4.903564500000e+01 9.961962985127e-01
4.908447300000e+01 9.962186516217e-01
4.913330100000e+01 9.962381787227e-01
4.918212900000e+01 9.962551164830e-01
4.923095700000e+01 9.962696878676e-01
4.927978500000e+01 9.962821025975e-01
4.932861300000e+01 9.962925576101e-01
4.937744100000e+01 9.963012375200e-01
4.942627000000e+01 9.963083152089e-01
4.947509800000e+01 9.963139517370e-01
4.952392600000e+01 9.963182976638e-01
4.957275400000e+01 9.963214928913e-01
4.962158200000e+01 9.963236672722e-01
4.967041000000e+01 9.963249410524e-01
4.971923800000e+01 9.963254253074e-01
4.976806600000e+01 9.963252223714e-01
4.981689500000e+01 9.963244262380e-01
4.986572300000e+01 9.963231230523e-01
4.991455100000e+01 9.963213914163e-01
4.996337900000e+01 9.963193028411e-01
5.001220700000e+01 9.963169221244e-01
5.006103500000e+01 9.963143077287e-01
5.010986300000e+01 9.963115121494e-01
5.015869100000e+01 9.963085822731e-01
5.020752000000e+01 9.963055596621e-01
5.025634800000e+01 9.963024811411e-01
5.030517600000e+01 9.962993787506e-01
5.035400400000e+01 9.962962803082e-01
5.040283200000e+01 9.962932096520e-01
5.045166000000e+01 9.962901869325e-01
5.050048800000e+01 9.962872288949e-01
5.054931600000e+01 9.962843491490e-01
5.059814500000e+01 9.962815583724e-01
5.064697300000e+01 9.962788647852e-01
5.069580100000e+01 9.962762740437e-01
5.074462900000e+01 9.962737896974e-01
5.079345700000e+01 9.962714133458e-01
5.084228500000e+01 9.962691448427e-01
5.089111300000e+01 9.962669824902e-01
5.093994100000e+01 9.962649232222e-01
5.098877000000e+01 9.962629627380e-01
5.103759800000e+01 9.962610958242e-01
5.108642600000e+01 9.962593162675e-01
5.113525400000e+01 9.962576171601e-01
5.118408200000e+01 9.962559909936e-01
5.123291000000e+01 9.962544297839e-01
5.128173800000e+01 9.962529251870e-01
5.133056600000e+01 9.962514686071e-01
5.137939500000e+01 9.962500512668e-01
5.142822300000e+01 9.962486644136e-01
5.147705100000e+01 9.962472992293e-01
5.152587900000e+01 9.962459470222e-01
5.157470700000e+01 9.962445992665e-01
5.162353500000e+01 9.962432476632e-01
5.167236300000e+01 9.962418841954e-01
5.172119100000e+01 9.962405011764e-01
5.177002000000e+01 9.962390912627e-01
5.181884800000e+01 9.962376476066e-01
5.186767600000e+01 9.962361637138e-01
5.191650400000e+01 9.962346335840e-01
5.196533200000e+01 9.962330517029e-01
5.201416000000e+01 9.962314130583e-01
5.206298800000e+01 9.962297131512e-01
5.211181600000e+01 9.962279480040e-01
5.216064500000e+01 9.962261141250e-01
5.220947300000e+01 9.962242086608e-01
5.225830100000e+01 9.962222291670e-01
5.230712900000e+01 9.962201737510e-01
5.235595700000e+01 9.962180410260e-01
5.240478500000e+01 9.962158300989e-01
5.245361300000e+01 9.962135405562e-01
5.250244100000e+01 9.962111724483e-01
5.255127000000e+01 9.962087262199e-01
5.260009800000e+01 9.962062028926e-01
5.264892600000e+01 9.962036037428e-01
5.269775400000e+01 9.962009304785e-01
5.274658200000e+01 9.961981851662e-01
5.279541000000e+01 9.961953702066e-01
5.284423800000e+01 9.961924883093e-01
5.289306600000e+01 9.961895424679e-01
5.294189500000e+01 9.961865358711e-01
5.299072300000e+01 9.961834721246e-01
5.303955100000e+01 9.961803548554e-01
5.308837900000e+01 9.961771879305e-01
5.313720700000e+01 9.961739753701e-01
5.318603500000e+01 9.961707213222e-01
5.323486300000e+01 9.961674300372e-01
5.328369100000e+01 9.961641058435e-01
5.333252000000e+01 9.961607530543e-01
5.338134800000e+01 9.961573762196e-01
5.343017600000e+01 9.961539796920e-01
5.347900400000e+01 9.961505678786e-01
